huihe,time,quarter,qtime,sop,team,person,xp,yp,region,defense,person2,xp2,yp2,score
49,598.67,3,15.67,pass,1610612739,201567,61.73069,24.0124,44,"[0, 0, 0, 0, 0]",202389,74.50912,25.36094,0
49,598.55,3,15.56,pass,1610612739,202389,75.32149,25.06506,55,"[0, 0, 0, 0, 0]",201567,62.2939,24.88336,0
49,598.23,3,15.25,shot,1610612739,201567,62.9468,25.80284,55,"[0, 0, 0, 0, 1]",,,,0
50,525.64,3,22.41,pass,1610612739,203521,17.24294,12.23807,2,"[0, 0, 0, 0, 0]",201567,59.98895,10.96501,0
50,519.34,3,16.37,shot,1610612739,201567,82.69387,21.48536,66,"[0, 1, 0, 0, 0]",,,,2
51,506.72,3,11.47,pass,1610612739,2210,29.03912,36.61468,8,"[0, 0, 0, 1, 1]",202389,20.44545,34.34345,0
51,506.64,3,11.39,pass,1610612739,202389,20.42892,34.30305,8,"[0, 0, 0, 1, 1]",2210,29.21635,35.42821,0
51,506.52,3,11.27,pass,1610612739,2210,29.31889,34.6644,8,"[0, 0, 0, 1, 1]",201567,26.96671,34.7311,0
51,506.48,3,11.23,pass,1610612739,201567,26.96671,34.7311,8,"[0, 0, 0, 1, 1]",202389,19.01248,32.35049,0
51,502.94,3,7.83,pass,1610612739,202389,21.3362,30.02357,5,"[1, 0, 0, 0, 0]",201567,17.136,30.53347,0
51,498.51,3,3.55,shot,1610612739,201567,18.43237,28.62634,5,"[0, 0, 0, 1, 0]",,,,0
52,443.17,3,9.39,pass,1610612739,2747,76.54824,21.19388,55,"[0, 1, 0, 0, 1]",203521,56.54588,23.07339,0
52,443.05,3,9.27,shot,1610612739,203521,56.54588,23.07339,44,"[0, 1, 0, 0, 1]",,,,0
53,428.58,3,14.49,pass,1610612739,2747,16.18558,31.6545,5,"[0, 1, 0, 1, 1]",2210,17.53641,16.48051,0
53,427.09,3,13.14,shot,1610612739,2210,16.50161,12.75037,2,"[0, 0, 0, 0, 1]",,,,0
54,240.53,3,17.09,pass,1610612739,2590,61.15144,18.35444,44,"[0, 0, 0, 1, 0]",201567,65.77312,16.15737,0
54,237.55,3,13.92,shot,1610612739,201567,64.54002,19.83477,55,"[0, 1, 0, 0, 1]",,,,0
55,178.95,3,0.92,pass,1610612739,2747,24.92458,31.3225,5,"[0, 0, 0, 0, 1]",202684,10.61838,29.88419,0
55,178.71,3,0.69,pass,1610612739,202684,9.96687,29.61603,4,"[0, 0, 0, 0, 1]",2747,26.04637,30.35507,0
55,178.47,3,0.45,shot,1610612739,2747,26.6369,29.94561,5,"[0, 0, 0, 0, 1]",,,,0
56,164,3,24,pass,1610612739,2590,36.32641,24.76022,6,"[0, 0, 0, 0, 1]",202684,29.59543,24.7662,0
56,164,3,24,pass,1610612739,202684,27.3228,24.32582,5,"[0, 0, 0, 1, 0]",2590,35.17591,25.3343,0
56,158.15,3,17.88,pass,1610612739,2590,33.64222,24.83691,6,"[0, 0, 1, 0, 1]",201567,9.74236,22.5018,0
56,151.29,3,11.08,shot,1610612739,201567,15.03271,12.57404,1,"[0, 0, 0, 0, 0]",,,,0
57,112.88,3,22.78,pass,1610612739,2590,20.14627,24.66275,5,"[0, 0, 0, 0, 0]",202684,11.65868,27.02099,0
57,112.44,3,22.34,pass,1610612739,202684,15.16333,26.86807,4,"[0, 0, 0, 0, 0]",2590,32.7576,27.5295,0
57,111.96,3,21.87,pass,1610612739,2590,35.68816,27.71404,6,"[0, 0, 0, 0, 0]",202684,29.49503,26.87419,0
57,111.56,3,21.47,pass,1610612739,202684,29.49503,26.87419,5,"[0, 0, 0, 0, 0]",2590,43.96257,26.61777,0
57,108.06,3,18.02,shot,1610612739,2590,90.81571,21.60869,66,"[1, 1, 0, 0, 0]",,,,0
58,71.83,3,13.34,pass,1610612739,203099,3.69232,30.10184,4,"[1, 0, 1, 0, 1]",2747,6.17162,29.44167,0
58,71.79,3,13.3,pass,1610612739,2747,6.17162,29.44167,4,"[1, 0, 1, 0, 1]",203099,4.18215,30.59612,0
58,71.75,3,13.26,shot,1610612739,203099,4.18215,30.59612,4,"[1, 0, 1, 0, 1]",,,,0
59,320.05,3,16.25,pass,1610612739,203521,57.8882,32.60266,44,"[0, 0, 1, 0, 0]",201567,63.15868,30.51592,0
59,319.89,3,16.1,pass,1610612739,201567,63.02164,30.8164,55,"[0, 0, 1, 0, 1]",203521,59.04705,30.4653,0
59,316.33,3,12.71,shot,1610612739,203521,64.34399,22.09269,55,"[0, 0, 1, 0, 0]",,,,0
60,174.48,3,20.08,pass,1610612739,201567,42.95762,21.65249,6,"[0, 0, 0, 0, 0]",2590,36.28835,20.79855,0
60,161.76,3,7.36,shot,1610612739,2590,63.39892,20.23428,55,"[0, 0, 0, 1, 0]",,,,0
61,365.54,3,14.15,pass,1610612739,202389,92.71488,15.31534,33,"[0, 0, 0, 1, 0]",201567,56.51431,14.93273,0
61,364.98,3,13.92,pass,1610612739,201567,58.94614,12.84896,11,"[1, 0, 0, 1, 0]",202389,92.97973,16.49811,0
61,364.49,3,13.72,pass,1610612739,202389,92.98597,16.66168,66,"[1, 0, 0, 1, 0]",2544,31.02793,16.49454,0
61,361.76,3,12.57,pass,1610612739,2544,52.47782,16.61208,44,"[1, 0, 1, 0, 1]",202389,82.00218,15.00103,0
61,360.88,3,12.2,pass,1610612739,202389,77.92237,14.30398,22,"[1, 0, 1, 0, 0]",2544,53.85091,16.32958,0
61,358.55,3,11.22,pass,1610612739,2544,73.35527,31.36608,55,"[1, 0, 0, 0, 0]",203521,86.29474,47.77453,0
61,357.5,3,10.78,shot,1610612739,203521,86.11622,47.60804,99,"[1, 0, 0, 0, 0]",,,,3
62,323.87,3,11.78,pass,1610612739,202389,59.03129,17.46379,44,"[0, 0, 0, 0, 1]",2544,54.12038,17.38109,0
62,322.84,3,10.89,shot,1610612739,2544,57.97007,25.78866,44,"[0, 0, 0, 0, 0]",,,,2
63,173.95,3,5.18,pass,1610612739,2590,65.84265,6.58821,22,"[1, 0, 0, 0, 1]",2544,92.475,1.48356,0
63,162.87,3,1.22,shot,1610612739,2544,92.61883,5.5598,33,"[0, 0, 1, 0, 1]",,,,0
64,93.96,3,9.95,pass,1610612739,2590,65.85655,9.05071,22,"[0, 0, 0, 0, 1]",202684,62.78224,9.43675,0
64,92.84,3,8.84,pass,1610612739,202684,69.53452,14.8655,22,"[1, 0, 0, 0, 0]",2590,80.27617,15.20875,0
64,91.32,3,7.33,shot,1610612739,2590,93.60675,29.44878,66,"[0, 0, 0, 0, 1]",,,,0
